host,port,subject_cn,sans,issuer_cn,issuer_org,not_before,not_after,days_until_expiry,serial_number,fingerprint_sha256,is_self_signed,key_usage,status
coopaclosandes.com,443,coopaclosandes.com,coopaclosandes.com,R12,Let's Encrypt,2026-04-15T11:30:13+00:00,2026-07-14T11:30:12+00:00,30,0x6d19a6734bbed1b5a8d67a5d433d2064677,BE:F2:B2:25:30:A7:EA:F5:0A:D8:A1:8F:71:C8:8F:D2:A2:D5:7E:C9:DB:52:A8:00:B0:EC:F2:7F:4B:4E:0C:61,False,digital_signature; key_encipherment,OK
sunass.gob.pe,443,*.sunass.gob.pe,*.sunass.gob.pe; sunass.gob.pe,Thawte TLS RSA CA G1,DigiCert Inc,2025-07-17T00:00:00+00:00,2026-07-16T23:59:59+00:00,33,0x84c4ecb96568087d0e156f1e3e4f5d5,61:51:ED:E8:38:56:1C:31:21:90:67:A9:50:D8:ED:F1:9B:4E:6F:2D:CB:2D:DC:28:E7:FE:6F:73:9E:CC:4B:42,False,digital_signature; key_encipherment,OK
untrm.edu.pe,443,untrm.edu.pe,untrm.edu.pe; *.untrm.edu.pe,WE1,Google Trust Services,2026-04-18T15:35:53+00:00,2026-07-17T16:34:33+00:00,33,0x8f9e2e323f31f259133db1db39a3db2a,41:9E:6C:30:A5:3A:CF:4A:2A:0B:66:00:4A:8A:B5:67:EF:59:F1:1B:BA:7F:0E:5D:80:BE:1B:D8:FC:9D:B7:21,False,digital_signature,OK
upsjb.edu.pe,443,upsjb.edu.pe,upsjb.edu.pe; *.upsjb.edu.pe,WE1,Google Trust Services,2026-04-19T21:12:27+00:00,2026-07-18T22:12:24+00:00,35,0x9bfdc1e097eb466e134fcc2509867e31,7A:2A:40:04:21:55:42:23:B6:B5:A7:46:BF:9D:CA:20:48:7F:D8:ED:65:02:A7:FA:E6:98:18:70:11:91:62:E1,False,digital_signature,OK
unjbg.edu.pe,443,transparencia.unjbg.edu.pe,actosresolutivos.unjbg.edu.pe; admision2.unjbg.edu.pe; admisionespecialidad.unjbg.edu.pe; admisionposgrado.unjbg.edu.pe; admisionweb.unjbg.edu.pe; agendainstitucional.unjbg.edu.pe; apibiblioteca.unjbg.edu.pe; apiunjbg.unjbg.edu.pe; aulavirtual.unjbg.edu.pe; biblioteca2.unjbg.edu.pe; bibliotecac.unjbg.edu.pe; bienestar.unjbg.edu.pe; bolsa.unjbg.edu.pe; campus.unjbg.edu.pe; ceas.unjbg.edu.pe; ceid.unjbg.edu.pe; cepu.unjbg.edu.pe; cepuweb.unjbg.edu.pe; coel.unjbg.edu.pe; comedor.unjbg.edu.pe; cooperacion.unjbg.edu.pe; directorio.unjbg.edu.pe; docente.unjbg.edu.pe; emvz.unjbg.edu.pe; equipos.unjbg.edu.pe; esad.unjbg.edu.pe; esag.unjbg.edu.pe; esam.unjbg.edu.pe; esaq.unjbg.edu.pe; esar.unjbg.edu.pe; esbm.unjbg.edu.pe; escalafon2.unjbg.edu.pe; escc.unjbg.edu.pe; escf.unjbg.edu.pe; esco.unjbg.edu.pe; esde.unjbg.edu.pe; esea.unjbg.edu.pe; esed.unjbg.edu.pe; esei.unjbg.edu.pe; esen.unjbg.edu.pe; esep.unjbg.edu.pe; esfb.unjbg.edu.pe; esfi.unjbg.edu.pe; esge.unjbg.edu.pe; eshi.unjbg.edu.pe; esia.unjbg.edu.pe; esic.unjbg.edu.pe; esip.unjbg.edu.pe; esiq.unjbg.edu.pe; esis.unjbg.edu.pe; esma.unjbg.edu.pe; esmc.unjbg.edu.pe; esme.unjbg.edu.pe; esmh.unjbg.edu.pe; esmi.unjbg.edu.pe; esob.unjbg.edu.pe; esod.unjbg.edu.pe; espg.unjbg.edu.pe; esps.unjbg.edu.pe; faci.unjbg.edu.pe; facs.unjbg.edu.pe; fain.unjbg.edu.pe; fcag.unjbg.edu.pe; fcje2.unjbg.edu.pe; fech.unjbg.edu.pe; fiag.unjbg.edu.pe; finanzas.unjbg.edu.pe; gradosytitulos.unjbg.edu.pe; indicadores.unjbg.edu.pe; intranet.unjbg.edu.pe; investigacion.unjbg.edu.pe; irgab.unjbg.edu.pe; itel.unjbg.edu.pe; matricula.unjbg.edu.pe; preuniversitario.unjbg.edu.pe; publicacionoficial.unjbg.edu.pe; reclamaciones.unjbg.edu.pe; soporte.unjbg.edu.pe; tramites.unjbg.edu.pe; transparencia.unjbg.edu.pe; tutorias.unjbg.edu.pe; uninfcje.unjbg.edu.pe; unjbg.edu.pe; viin.unjbg.edu.pe; visitas.unjbg.edu.pe; www.unjbg.edu.pe,R12,Let's Encrypt,2026-04-23T14:53:55+00:00,2026-07-22T14:53:54+00:00,38,0x63414330a8a1a3cf247bcfcb2a76d614b03,C0:0E:80:63:A3:C4:9A:09:C8:92:F6:15:AC:40:08:76:8D:D8:B5:2F:71:30:CB:5E:CF:D8:2D:F1:86:BF:CD:1B,False,digital_signature; key_encipherment,OK
banbif.com.pe,443,www.banbif.com.pe,www.banbif.com.pe; banbif.com.pe,DigiCert EV RSA CA G2,DigiCert Inc,2025-07-17T00:00:00+00:00,2026-07-28T23:59:59+00:00,45,0xc6a31959b3eb1b37f3b5844581c6d22,F8:6A:BA:03:5B:0E:B7:C2:17:42:E2:88:F1:B2:3B:7D:44:FC:CE:FD:F2:37:A1:1D:00:A0:CC:C1:2C:53:39:F4,False,digital_signature; key_encipherment,OK
unap.edu.pe,443,unap.edu.pe,unap.edu.pe,E7,Let's Encrypt,2026-05-01T10:42:33+00:00,2026-07-30T10:42:32+00:00,46,0x6ccefa643989f01cf849fd864525ef42f0b,C8:1A:0D:99:CD:5E:3B:BC:47:E8:4A:E3:BD:3D:7C:54:8B:3A:79:85:B8:73:CD:1D:8D:3A:DA:BB:40:84:88:DA,False,digital_signature,OK
usmp.edu.pe,443,usmp.edu.pe,usmp.edu.pe; *.usmp.edu.pe,WE1,Google Trust Services,2026-05-04T15:33:07+00:00,2026-08-02T16:33:05+00:00,49,0x3667f7ae46d383d313a07f8499a17822,BF:75:C7:69:BB:D7:4D:5F:F0:29:A9:E5:6C:9A:C2:AC:23:5E:2E:FB:B6:48:CE:6B:38:A5:FD:8E:BC:2D:C8:44,False,digital_signature,OK
utp.edu.pe,443,*.utp.edu.pe,*.utp.edu.pe; utp.edu.pe,Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",2025-07-02T13:09:27+00:00,2026-08-03T13:09:27+00:00,50,0xb7f8b64f59cd48f,4F:BB:E7:AD:68:61:A9:B7:2C:09:2A:9F:15:5A:FA:89:07:FE:19:F8:71:4E:4F:75:67:2E:62:72:85:5C:E2:46,False,digital_signature; key_encipherment,OK
midis.gob.pe,443,*.midis.gob.pe,*.midis.gob.pe; midis.gob.pe,Sectigo Public Server Authentication CA OV R36,Sectigo Limited,2025-07-04T00:00:00+00:00,2026-08-04T23:59:59+00:00,52,0x210734738b63e66b9f07e4a258de58f8,74:B5:37:56:20:61:B1:B3:7C:7A:32:6E:AF:79:E6:8D:B4:AF:06:4F:64:D7:33:68:F5:24:B5:FD:4F:E6:A6:70,False,digital_signature; key_encipherment,OK
uni.edu.pe,443,uni.edu.pe,uni.edu.pe; www.uni.edu.pe,E8,Let's Encrypt,2026-05-09T04:18:24+00:00,2026-08-07T04:18:23+00:00,54,0x5797b69eb96856d652d2b6e6564f9a2b1b1,A4:DB:1E:FE:A4:D4:9E:90:52:21:E4:61:6D:93:BC:2F:27:7D:EF:46:AD:26:CD:A0:27:86:6D:EC:40:3F:3B:59,False,digital_signature,OK
unasam.edu.pe,443,unasam.edu.pe,*.unasam.edu.pe; unasam.edu.pe,E7,Let's Encrypt,2026-05-11T01:42:40+00:00,2026-08-09T01:42:39+00:00,56,0x5df30a2a73d93e1f9a02b8285e4aa2f125c,89:94:B7:15:F4:82:D3:82:B0:A9:68:E9:B0:74:AB:75:2B:FF:E3:33:DD:65:70:21:3B:80:27:BC:C4:2D:B4:DF,False,digital_signature,OK
cajametropolitana.com.pe,443,cajametropolitana.com.pe,cajametropolitana.com.pe; *.cajametropolitana.com.pe,WE1,Google Trust Services,2026-05-10T21:14:54+00:00,2026-08-08T22:14:43+00:00,56,0xc20b0bab28cf20180e3c5cbf497b9987,CB:E1:89:DA:C0:6E:6E:C7:D3:10:B9:31:69:25:93:65:36:18:2A:6E:42:CA:8A:7F:E0:71:14:74:6E:19:EB:93,False,digital_signature,OK
pichincha.pe,443,imperva.com,pichincha.pe; *.pichincha.pe; www.pichincha.pe; *.cal.pichincha.pe; imperva.com,GlobalSign Atlas R46 DV TLS CA 2026 Q2,GlobalSign nv-sa,2026-05-14T18:33:10+00:00,2026-08-12T18:33:05+00:00,60,0x18617b1008cba84cbbb3da7d09d3e32,2F:82:01:F3:A3:39:38:52:F0:64:5E:71:00:EB:84:0C:1A:78:B7:C4:58:0A:AE:7C:69:92:BD:0D:1B:69:15:56,False,digital_signature; key_encipherment,OK
unam.edu.pe,443,unam.edu.pe,unam.edu.pe; *.unam.edu.pe,WE1,Google Trust Services,2026-05-15T11:25:49+00:00,2026-08-13T12:25:45+00:00,60,0xc2e21c1e4814ecfc0e0ff284f8b63b51,74:B9:17:6E:59:00:8E:A8:DC:69:50:1B:2B:70:06:A2:20:15:3C:70:C1:F4:16:A5:18:D4:29:CF:9A:EE:E1:FF,False,digital_signature,OK
